Feature,XGBoost_importance,LightGBM_importance,Ensemble_importance
WBC,0.18750028,0.08565732985896136,0.13657880649051202
Platelets,0.14477842,0.07691470326096571,0.11084655941084404
RBC,0.11169736,0.07419326307481919,0.09294531197402077
Hb,0.11345733,0.06516488525727815,0.08931110741426262
Neutrophils,0.0856845,0.05894639443193338,0.07231544753330182
RDW,0.06573752,0.06468863322470252,0.06521307818161282
Lymphocytes,0.05075978,0.05280274321170764,0.0517812621818588
MCV,0.03159148,0.06924704553649791,0.05041926213585321
MCH,0.032781083,0.06566835169171525,0.0492247174142561
Height,0.026724514,0.05929337805566706,0.043008945837902615
Monocytes,0.023919068,0.05094536028466264,0.03743221428077241
Weight,0.022224762,0.048924690946448864,0.035574726246053484
MCHC,0.020737447,0.05001326702090746,0.03537535693274263
BMI,0.019458463,0.049135602560875215,0.034297032988189355
Eosinophils,0.020509182,0.047162558425918995,0.033835869985051836
Age,0.019966109,0.04636653717147114,0.033166322947973025
Basophils,0.022472702,0.03487525598546751,0.028673978976115025
