Feature,XGBoost_importance,LightGBM_importance,Ensemble_importance
WBC,0.18750028,0.08565732985896136,0.1263945111642019
Platelets,0.14477842,0.07691470326096571,0.10406018818086837
RBC,0.11169736,0.07419326307481919,0.08919490219418046
Hb,0.11345733,0.06516488525727815,0.08448186298286572
Neutrophils,0.0856845,0.05894639443193338,0.06964163691302813
RDW,0.06573752,0.06468863322470252,0.06510818919023076
MCV,0.03159148,0.06924704553649791,0.05418481881598215
MCH,0.032781083,0.06566835169171525,0.05251344426974793
Lymphocytes,0.05075978,0.05280274321170764,0.05198555838782857
Height,0.026724514,0.05929337805566706,0.046265832281455505
Monocytes,0.023919068,0.05094536028466264,0.040134843481550456
MCHC,0.020737447,0.05001326702090746,0.03830293895037559
Weight,0.022224762,0.048924690946448864,0.038244719186132564
BMI,0.019458463,0.049135602560875215,0.03726474690272653
Eosinophils,0.020509182,0.047162558425918995,0.03650120767322527
Age,0.019966109,0.04636653717147114,0.03580636579267265
Basophils,0.022472702,0.03487525598546751,0.02991423437798552
